epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1789.19,1.64283,0.87042,1.01298,0.90993,0.90583,0.92007,0.49381,1.43772,0.70603,0.97066,0.0012608,0.0012608,0.0012608
58,1820.56,1.62862,0.86127,1.00609,0.90715,0.92377,0.92829,0.50594,1.46837,0.712,0.98002,0.0012476,0.0012476,0.0012476
59,1851.91,1.63278,0.88035,1.02198,0.90374,0.90135,0.91563,0.50686,1.46202,0.71954,0.98591,0.0012344,0.0012344,0.0012344
60,1883.28,1.62708,0.84579,1.01288,0.9027,0.91524,0.94746,0.51388,1.43639,0.70631,0.96003,0.0012212,0.0012212,0.0012212
61,1914.71,1.61954,0.85349,1.01303,0.91719,0.91031,0.94106,0.50653,1.46236,0.71421,0.97252,0.001208,0.001208,0.001208
62,1946.08,1.62497,0.86933,1.00541,0.92936,0.88495,0.92942,0.50146,1.4517,0.69541,0.96443,0.0011948,0.0011948,0.0011948
63,1977.4,1.58342,0.84423,1.00616,0.90915,0.94241,0.95217,0.51116,1.44615,0.69253,0.9733,0.0011816,0.0011816,0.0011816
64,2008.71,1.61453,0.84486,1.0093,0.90706,0.90135,0.93737,0.50749,1.47154,0.71561,0.98693,0.0011684,0.0011684,0.0011684
65,2040.07,1.61372,0.84944,1.00237,0.92439,0.91031,0.94269,0.50955,1.46311,0.69766,0.97597,0.0011552,0.0011552,0.0011552
66,2071.43,1.62825,0.85668,1.01013,0.91195,0.93274,0.94715,0.52046,1.42419,0.71655,0.96659,0.001142,0.001142,0.001142
67,2102.86,1.62968,0.83948,1.01156,0.93862,0.94619,0.95481,0.51084,1.48907,0.70332,0.9684,0.0011288,0.0011288,0.0011288
68,2134.22,1.6224,0.8281,1.01612,0.91953,0.9223,0.9464,0.52844,1.44759,0.69952,0.96718,0.0011156,0.0011156,0.0011156
69,2165.59,1.60688,0.81909,1.00745,0.93632,0.92303,0.9463,0.50739,1.45924,0.7136,0.97515,0.0011024,0.0011024,0.0011024
70,2196.95,1.58657,0.82214,1.01057,0.94092,0.91928,0.94766,0.51056,1.48478,0.69664,0.973,0.0010892,0.0010892,0.0010892
