epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,4106.53,1.47172,0.71402,0.97408,0.93393,0.9148,0.94102,0.51854,1.45632,0.63246,0.98243,0.0003236,0.0003236,0.0003236
129,4138.6,1.45116,0.71629,0.95899,0.93036,0.91031,0.94302,0.50588,1.498,0.64736,0.98811,0.0003104,0.0003104,0.0003104
130,4170.64,1.42533,0.69065,0.95681,0.93491,0.9018,0.94582,0.52416,1.46813,0.62796,0.98723,0.0002972,0.0002972,0.0002972
131,4202.7,1.46195,0.69574,0.96727,0.92378,0.9148,0.94907,0.50549,1.49797,0.64564,0.99299,0.000284,0.000284,0.000284
132,4234.76,1.43724,0.68894,0.953,0.93525,0.92825,0.94853,0.50985,1.48788,0.63997,0.99167,0.0002708,0.0002708,0.0002708
133,4266.87,1.44597,0.69595,0.95544,0.93249,0.92904,0.94365,0.51849,1.47118,0.62994,0.99439,0.0002576,0.0002576,0.0002576
134,4298.92,1.42804,0.6772,0.96382,0.93412,0.91928,0.93999,0.52247,1.46688,0.61615,0.98928,0.0002444,0.0002444,0.0002444
135,4331,1.43444,0.69225,0.96343,0.93481,0.91928,0.94428,0.52182,1.46193,0.6216,0.98683,0.0002312,0.0002312,0.0002312
136,4363.08,1.41233,0.68107,0.95111,0.93717,0.92825,0.94908,0.52013,1.44516,0.62402,0.9762,0.000218,0.000218,0.000218
137,4395.16,1.43105,0.69311,0.95807,0.93133,0.92377,0.94597,0.51978,1.43443,0.61234,0.97696,0.0002048,0.0002048,0.0002048
138,4427.28,1.42419,0.68641,0.95886,0.95442,0.93902,0.95595,0.52925,1.43227,0.60856,0.98286,0.0001916,0.0001916,0.0001916
139,4459.31,1.42775,0.68254,0.96072,0.93592,0.91928,0.94425,0.51751,1.43864,0.61443,0.98496,0.0001784,0.0001784,0.0001784
140,4491.35,1.41083,0.68284,0.949,0.94296,0.92825,0.95011,0.52812,1.42795,0.60612,0.98457,0.0001652,0.0001652,0.0001652
141,4523.85,1.43433,0.67066,1.00174,0.94462,0.91791,0.94929,0.53433,1.42003,0.61401,0.96759,0.000152,0.000152,0.000152
142,4555.91,1.37872,0.66427,0.98512,0.95206,0.91928,0.951,0.52634,1.41939,0.61729,0.97188,0.0001388,0.0001388,0.0001388
143,4587.92,1.39856,0.66715,0.98969,0.94,0.91334,0.94245,0.53097,1.41078,0.61218,0.97528,0.0001256,0.0001256,0.0001256
144,4619.95,1.38411,0.66983,0.98665,0.9386,0.9148,0.94552,0.53136,1.40774,0.616,0.97556,0.0001124,0.0001124,0.0001124
145,4652.03,1.37048,0.65421,0.9804,0.93708,0.93499,0.94593,0.53112,1.40971,0.60977,0.9737,9.92e-05,9.92e-05,9.92e-05
146,4684.07,1.36506,0.64347,0.97807,0.94084,0.9271,0.94737,0.52798,1.41298,0.60821,0.97463,8.6e-05,8.6e-05,8.6e-05
147,4716.09,1.36355,0.6433,0.9865,0.9411,0.93151,0.94446,0.52957,1.41508,0.60685,0.97391,7.28e-05,7.28e-05,7.28e-05
148,4748.16,1.36791,0.65067,0.98952,0.94608,0.94411,0.95603,0.5261,1.4251,0.60925,0.97817,5.96e-05,5.96e-05,5.96e-05
149,4780.19,1.37559,0.64122,0.98595,0.95058,0.94882,0.95836,0.52732,1.42195,0.60766,0.97657,4.64e-05,4.64e-05,4.64e-05
150,4812.26,1.35551,0.64352,0.97977,0.94157,0.93944,0.95175,0.53042,1.41222,0.60244,0.97557,3.32e-05,3.32e-05,3.32e-05
